date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:34	11044/11044	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222b24-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/adrofx-logo__art-trading.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/adrofx-logo__art-trading.svg	(from https://adrofx.com/social-investing)
12:15:34	161987/161987	---M--	200	added ('OK')	image/png	etag:%22278c3-5f2ebcc5ee79f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/main-hero-375.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/main-hero-375.png	(from https://adrofx.com/social-investing)
12:15:34	1416/1416	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22588-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-save.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-save.svg	(from https://adrofx.com/social-investing)
12:15:34	1531/1531	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fb-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-type-account.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-type-account.svg	(from https://adrofx.com/social-investing)
12:15:35	1450/1450	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225aa-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-trust.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-trust.svg	(from https://adrofx.com/social-investing)
12:15:35	30088/30088	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227588-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/sprite.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/sprite.svg	(from https://adrofx.com/social-investing)
12:15:35	65081/65081	---M--	200	added ('OK')	image/png	etag:%22fe39-5f2ebcc5ed7ff%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/copy-trade__update.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/copy-trade__update.png	(from https://adrofx.com/social-investing)
12:15:35	94976/94976	---M--	200	added ('OK')	image/png	etag:%2217300-5f2ebcc5ed7ff%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/banner-separator__phone.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/banner-separator__phone.png	(from https://adrofx.com/social-investing)
12:15:36	67719/67719	---M--	200	added ('OK')	image/png	etag:%2210887-5f2ebcc5ed7ff%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/copy-top-images.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/copy-top-images.png	(from https://adrofx.com/social-investing)
12:15:36	65185/65185	---M--	200	added ('OK')	image/png	etag:%22fea1-5f2ebcc5ee79f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/phone-product-card-1.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/phone-product-card-1.png	(from https://adrofx.com/social-investing)
